,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_conv,param_dropout_rate,param_kernel,param_pool,param_stride,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
12,102.78339779376984,4.102572321891785,2.709512948989868,0.27687811851501465,1,0.6,5,2,1,"{'conv': 1, 'dropout_rate': 0.6, 'kernel': 5, 'pool': 2, 'stride': 1}",0.666094958782196,0.6664259433746338,0.6662604510784149,0.00016549229621887207,6
13,103.78191661834717,0.22859549522399902,2.900985836982727,0.11973249912261963,1,0.6,5,2,2,"{'conv': 1, 'dropout_rate': 0.6, 'kernel': 5, 'pool': 2, 'stride': 2}",0.602184534072876,0.647196888923645,0.6246907114982605,0.02250617742538452,32
14,121.3978670835495,3.451666474342346,3.234078049659729,0.18693149089813232,1,0.6,5,4,1,"{'conv': 1, 'dropout_rate': 0.6, 'kernel': 5, 'pool': 4, 'stride': 1}",0.6687127351760864,0.6670578718185425,0.6678853034973145,0.0008274316787719727,5
15,110.41084945201874,0.9787763357162476,3.6955994367599487,0.16528642177581787,1,0.6,5,4,2,"{'conv': 1, 'dropout_rate': 0.6, 'kernel': 5, 'pool': 4, 'stride': 2}",0.656616747379303,0.6540579795837402,0.6553373634815216,0.001279383897781372,17
16,232.06487047672272,30.51527750492096,5.534715890884399,0.6759374141693115,2,0.4,3,2,1,"{'conv': 2, 'dropout_rate': 0.4, 'kernel': 3, 'pool': 2, 'stride': 1}",0.6502978801727295,0.645752489566803,0.6480251848697662,0.002272695302963257,24
17,162.70994412899017,13.417672514915466,3.7381120920181274,0.8014293909072876,2,0.4,3,2,2,"{'conv': 2, 'dropout_rate': 0.4, 'kernel': 3, 'pool': 2, 'stride': 2}",0.6693446636199951,0.6518010497093201,0.6605728566646576,0.008771806955337524,11
18,248.23500418663025,8.289667129516602,6.260227084159851,0.016037344932556152,2,0.4,3,4,1,"{'conv': 2, 'dropout_rate': 0.4, 'kernel': 3, 'pool': 4, 'stride': 1}",0.673858106136322,0.6737383604049683,0.6737982332706451,5.987286567687988e-05,2
19,174.2170376777649,5.443554401397705,4.453535318374634,0.013821601867675781,2,0.4,3,4,2,"{'conv': 2, 'dropout_rate': 0.4, 'kernel': 3, 'pool': 4, 'stride': 2}",0.6673587560653687,0.6699467301368713,0.66865274310112,0.0012939870357513428,4
20,268.24682354927063,1.6817142963409424,6.931368470191956,0.36848270893096924,2,0.4,5,2,1,"{'conv': 2, 'dropout_rate': 0.4, 'kernel': 5, 'pool': 2, 'stride': 1}",0.6567972302436829,0.6547801494598389,0.6557886898517609,0.001008540391921997,16
21,181.42525494098663,1.2352114915847778,5.598987817764282,0.33448171615600586,2,0.4,5,2,2,"{'conv': 2, 'dropout_rate': 0.4, 'kernel': 5, 'pool': 2, 'stride': 2}",0.6753023862838745,0.6724745035171509,0.6738884449005127,0.0014139413833618164,1
22,299.79441809654236,6.371768474578857,6.06159782409668,0.48364710807800293,2,0.4,5,4,1,"{'conv': 2, 'dropout_rate': 0.4, 'kernel': 5, 'pool': 4, 'stride': 1}",0.6570680737495422,0.6750022768974304,0.6660351753234863,0.008967101573944092,7
23,183.99661803245544,6.975788354873657,5.336127042770386,0.1009366512298584,2,0.4,5,4,2,"{'conv': 2, 'dropout_rate': 0.4, 'kernel': 5, 'pool': 4, 'stride': 2}",0.6521032452583313,0.6751828193664551,0.6636430323123932,0.01153978705406189,8
24,247.78537094593048,28.627219319343567,5.534606695175171,0.840064525604248,2,0.6,3,2,1,"{'conv': 2, 'dropout_rate': 0.6, 'kernel': 3, 'pool': 2, 'stride': 1}",0.6453331112861633,0.6505371332168579,0.6479351222515106,0.00260201096534729,25
25,157.87428522109985,4.271754503250122,3.824068546295166,0.3811609745025635,2,0.6,3,2,2,"{'conv': 2, 'dropout_rate': 0.6, 'kernel': 3, 'pool': 2, 'stride': 2}",0.6532767415046692,0.6544190645217896,0.6538479030132294,0.0005711615085601807,18
26,273.9628710746765,12.350754737854004,6.6979252099990845,0.05520308017730713,2,0.6,3,4,1,"{'conv': 2, 'dropout_rate': 0.6, 'kernel': 3, 'pool': 4, 'stride': 1}",0.6673587560653687,0.6549607515335083,0.6611597537994385,0.006199002265930176,10
27,149.47019457817078,16.5257089138031,4.228171467781067,0.22099125385284424,2,0.6,3,4,2,"{'conv': 2, 'dropout_rate': 0.6, 'kernel': 3, 'pool': 4, 'stride': 2}",0.6492146849632263,0.6577593088150024,0.6534869968891144,0.0042723119258880615,19
28,270.72942984104156,0.35118234157562256,5.955761432647705,0.5952212810516357,2,0.6,5,2,1,"{'conv': 2, 'dropout_rate': 0.6, 'kernel': 5, 'pool': 2, 'stride': 1}",0.6145513653755188,0.656044065952301,0.6352977156639099,0.020746350288391113,27
29,180.39262461662292,0.3752899169921875,5.24221134185791,0.18620848655700684,2,0.6,5,2,2,"{'conv': 2, 'dropout_rate': 0.6, 'kernel': 5, 'pool': 2, 'stride': 2}",0.6620328426361084,0.6542385220527649,0.6581356823444366,0.003897160291671753,15
30,258.8806927204132,11.215894937515259,2.471387267112732,0.9012535810470581,2,0.6,5,4,1,"{'conv': 2, 'dropout_rate': 0.6, 'kernel': 5, 'pool': 4, 'stride': 1}",0.659415066242218,0.6616412401199341,0.660528153181076,0.0011130869388580322,13
31,180.09306824207306,4.013301730155945,4.497649669647217,0.6119654178619385,2,0.6,5,4,2,"{'conv': 2, 'dropout_rate': 0.6, 'kernel': 5, 'pool': 4, 'stride': 2}",0.6590539813041687,0.6646203994750977,0.6618371903896332,0.0027832090854644775,9
